date,commodity,price,unit
2026-03,Coconut,20.78,kg
2026-04,Coconut,20.94,kg
2026-05,Coconut,21.27,kg
2026-06,Coconut,22.03,kg
2024-07,Banana,74.83,kg
2024-08,Banana,74.3,kg
2024-09,Banana,73.68,kg
2024-10,Banana,73.11,kg
2024-11,Banana,73.05,kg
2024-12,Banana,73.29,kg
2025-01,Banana,73.49,kg
2025-02,Banana,74.06,kg
2025-03,Banana,74.07,kg
2025-04,Banana,75.09,kg
2025-05,Banana,74.91,kg
2025-06,Banana,76.81,kg
2025-07,Banana,77.25,kg
2025-08,Banana,76.65,kg
2025-09,Banana,75.9,kg
2025-10,Banana,76.24,kg
2025-11,Banana,76.08,kg
2025-12,Banana,76.58,kg
2026-01,Banana,76.91,kg
2026-02,Banana,76.86,kg
2026-03,Banana,76.27,kg
2026-04,Banana,75.21,kg
2026-05,Banana,74.89,kg
2026-06,Banana,75.49,kg
